taxonomy.name	D2000120	D2000121	D2000122	D2000123	D2000124	D2000125	D2000126	D2000127	D2000128	D2000129	D2000130	D2000131	D2000132	D2000134	D2000135	D2000137	D2000138	D2000139	D2000140	D2000141	D2000142	D2000143	D2000144	D2000145
                Mucisphaera	0	10	0	19	13	52	11	99	0	19	33	27	70	66	101	0	105	117	25	13	18	44	31	14
                Mumia	229	113	140	124	153	823	122	431	127	628	188	288	179	270	1701	123	271	539	158	362	310	350	412	194
                Mycetocola	87	61	101	91	148	347	102	371	142	410	233	387	158	124	1099	52	104	572	123	135	238	340	504	73
                Mycobacterium	9431	6214	6210	7938	4607	59446	2839	10272	5617	17281	2874	60749	6635	10335	73138	4120	11990	12546	2764	15924	19360	8376	50232	4018
                Mycobacteroides	358	873	341	372	221	1741	167	698	301	1090	209	1397	462	548	3355	207	556	848	177	574	633	509	1540	285
                Mycolicibacillus	125	96	94	113	83	504	77	241	113	402	84	578	140	150	949	62	138	373	87	203	301	122	436	94
                Mycolicibacter	305	277	287	274	255	1832	136	889	283	1023	190	2153	326	382	3610	228	447	1123	163	595	755	357	1952	213
                Mycolicibacterium	14516	21376	10611	13141	7621	76887	5112	15681	7834	30075	5326	49673	13866	19861	121602	7630	23372	24730	4773	27941	28064	12124	66125	13815
                Myxococcus	149	95	173	83	132	706	141	1409	104	550	300	302	350	195	539	75	202	1572	302	210	185	746	512	106
                Nakamurella	279	186	318	194	362	1289	259	822	512	1206	269	1007	361	409	2316	209	369	1074	222	524	795	485	918	187
                Nanchangia	16	0	16	11	30	67	12	42	11	57	18	21	13	22	95	14	11	50	15	17	12	22	27	0
                Nannocystis	463	54	110	72	82	377	76	2375	71	543	421	175	252	82	941	48	1169	2557	621	261	97	1769	491	216
                Natronoglycomyces	65	25	22	58	66	492	30	119	18	232	41	63	58	133	696	120	294	85	27	238	73	99	63	15
                Natronosporangium	100	56	81	60	98	419	101	360	93	510	119	260	169	109	953	65	129	587	53	206	162	182	210	41
                Neobacillus	0	0	0	0	0	15	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
                Neochlamydia	0	12	26	70	13	39	10	0	0	0	0	0	0	28	34	29	113	0	0	17	22	0	113	0
                Neomicrococcus	17	15	14	0	13	53	0	40	0	57	14	38	12	0	136	0	11	45	13	18	31	48	40	13
                Neorhizobium	2350	858	4125	3298	2776	21754	9850	12870	416	60927	9922	1168	4482	1181	23570	2447	1548	38066	4321	6204	1410	27250	3333	938
                Nesterenkonia	0	0	0	0	0	63	0	80	0	85	0	52	0	0	224	0	0	86	0	0	49	38	83	22
                Nibricoccus	52	11	26	17	19	120	26	9115	58	1303	211	126	121	24	61	21	42	2023	882	46	109	249	113	21
                Nocardia	3236	1391	3078	4346	3629	12880	1725	7790	1760	13194	1840	6231	3103	3610	57070	3026	3065	7845	2464	6106	3697	3883	5629	1359
                Nocardioides	27621	16878	17926	10057	20563	104581	17544	98892	17249	69678	38259	33510	19886	29377	239003	16486	38071	80708	32548	35148	38793	76195	53116	22139
                Nocardiopsis	530	223	541	454	484	2322	376	1453	380	2113	371	1248	544	653	4459	483	773	1721	335	979	741	842	1001	323
                Nonomuraea	2499	604	5097	1228	8565	56658	2241	3443	885	5549	892	6239	1495	2086	12646	8952	8397	3969	755	23862	4768	1703	3460	10853
                Novibacillus	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
                Occultella	119	52	110	139	104	594	94	439	97	612	128	195	113	164	2043	55	188	441	90	227	188	325	279	65
